ibge,anomes,cadunico_tot_fam,cadunico_tot_pes,cadunico_tot_fam_rpc_ate_meio_sm,cadunico_tot_pes_rpc_ate_meio_sm,cadunico_tot_fam_pob,cadunico_tot_pes_pob,cadunico_tot_fam_ext_pob,cadunico_tot_pes_ext_pob,cadunico_tot_fam_pob_e_ext_pob,cadunico_tot_pes_pob_e_ext_pob
171488,202102,2319,6818,1839,6025,271,874,947,3248,1218,4122
171500,202102,982,2414,749,2063,50,129,550,1528,600,1657
171510,202102,829,2664,722,2462,42,172,521,1761,563,1933
171515,202102,469,1177,354,1011,34,99,218,591,252,690
171525,202102,730,2012,555,1735,30,111,331,991,361,1102
171550,202102,345,987,266,859,40,150,140,435,180,585
171570,202102,1115,3352,941,3046,123,401,554,1852,677,2253
171575,202102,1779,4772,1160,3661,133,436,510,1627,643,2063
171610,202102,5627,15582,4221,13192,871,3065,1126,3828,1997,6893
171620,202102,2565,7289,2183,6737,107,431,1782,5477,1889,5908
171630,202102,1009,2581,794,2290,94,271,553,1642,647,1913
171650,202102,2016,5682,1553,4910,379,1309,462,1613,841,2922
171660,202102,2330,5841,1616,4661,224,575,842,2479,1066,3054
171665,202102,1243,3472,978,3038,171,603,459,1431,630,2034
171670,202102,1915,5062,1478,4342,216,675,776,2321,992,2996
171700,202102,1210,3388,887,2797,112,347,474,1520,586,1867
171720,202102,798,2033,635,1782,56,168,463,1282,519,1450
171750,202102,1320,3662,914,2908,227,749,119,474,346,1223
171780,202102,1186,3039,874,2584,90,289,584,1702,674,1991
171790,202102,1408,4502,1164,4007,187,660,572,1989,759,2649
171800,202102,716,1949,545,1700,68,254,311,950,379,1204
171820,202102,11333,31491,8477,26614,2047,6706,2395,8210,4442,14916
171830,202102,1559,4914,1336,4528,127,512,866,2924,993,3436
171840,202102,757,2020,584,1750,21,63,385,1157,406,1220
171845,202102,653,1567,501,1350,46,162,330,849,376,1011
171850,202102,898,2946,769,2656,69,304,542,1827,611,2131
171855,202102,1039,3143,889,2870,69,225,565,1807,634,2032
171865,202102,373,1155,314,1057,54,193,157,514,211,707
171870,202102,828,2257,586,1821,71,220,298,942,369,1162
171875,202102,1295,3678,1039,3271,41,177,789,2472,830,2649
171880,202102,1192,3524,1049,3339,42,126,828,2703,870,2829
171884,202102,853,2442,641,2079,130,474,229,769,359,1243
171886,202102,1346,3643,971,3057,276,1003,202,647,478,1650
171888,202102,723,2004,503,1602,28,101,309,970,337,1071
171889,202102,374,1151,299,1003,60,222,123,410,183,632
171890,202102,1182,3276,854,2748,169,499,472,1583,641,2082
171900,202102,533,1839,397,1504,80,298,162,642,242,940
172000,202102,575,1697,484,1536,55,169,274,852,329,1021
172010,202102,957,3302,820,3032,67,280,505,1864,572,2144
172015,202102,371,1275,282,1098,70,271,102,430,172,701
172020,202102,2724,7612,2402,7193,166,506,1775,5554,1941,6060
172025,202102,697,1912,518,1622,38,142,377,1175,415,1317
172030,202102,1236,3603,1057,3323,62,217,813,2557,875,2774
172049,202102,1308,3102,882,2522,193,507,426,1355,619,1862
172065,202102,1435,3613,1133,3235,100,214,898,2763,998,2977
172080,202102,2372,6940,1929,6172,115,391,1289,4115,1404,4506
